title,summary,source,time_published,topics,overall_sentiment_label,overall_sentiment_score,ticker
"Congressional Trading Report: Rep. Marjorie Taylor Greene Bought Over $19K In Amazon.com Stock - Caterpillar  ( NYSE:CAT ) , Amazon.com  ( NASDAQ:AMZN ) ","A report on April 7, 2025 shows that Representative Marjorie Taylor Greene from Georgia purchase stock in Amazon.com AMZN, valued between $19,019 and $285,000. According to the April filing, the transaction occurred on April 7, 2025. At the time of writing, Amazon.com shares are trading up 3.57% ...",Benzinga,20250408T150014,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.999186'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.161769,HD
Is It Worth Investing in Home Depot  ( HD )  Based on Wall Street's Bullish Views?,"Based on the average brokerage recommendation (ABR), Home Depot (HD) should be added to one's portfolio. Wall Street analysts' overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?",Zacks Commentary,20250408T133008,"[{'topic': 'Earnings', 'relevance_score': '0.890401'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}]",Somewhat-Bullish,0.306145,HD
How far will Donald Trump take his trade war?,"Also in today's newsletter, some of the president's billionaire allies are breaking ranks to lambast tariffs ...",Financial Times,20250408T130043,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}]",Neutral,-0.104312,HD
"The Home Depot, Inc.  ( HD )  Is a Trending Stock: Facts to Know Before Betting on It","Recently, Zacks.com users have been paying close attention to Home Depot (HD). This makes it worthwhile to examine what the stock has in store.",Zacks Commentary,20250408T130013,"[{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.54554'}]",Somewhat-Bullish,0.23742,HD
Is the Vanguard Value ETF the Best Ultra-Low-Cost Fund for Generating Passive Income?,"Collecting passive income from stocks is a simple and effective way to participate in the market without having the return based solely on stock prices going up.Exchange-traded funds ( ETFs ) that invest in dividend stocks provide the added benefit of diversification, making them solid options ...",Motley Fool,20250408T094000,"[{'topic': 'Life Sciences', 'relevance_score': '0.166667'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.166667'}, {'topic': 'Technology', 'relevance_score': '0.166667'}, {'topic': 'Finance', 'relevance_score': '0.166667'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.166667'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.166667'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}]",Somewhat-Bullish,0.281377,HD
Why Investors Need to Take Advantage of These 2 Retail and Wholesale Stocks Now,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,Zacks Commentary,20250407T125015,"[{'topic': 'Earnings', 'relevance_score': '0.999973'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",Somewhat-Bullish,0.348856,HD
1 Top Dividend Stock That Paid Investors Nearly $9 Billion Last Year: Is It Time to Buy?,Some investors want to own businesses whose shares have the potential for meaningful capital appreciation over time. Others prefer to own companies that reliably pay sizable dividends. Both types of stocks can fill valuable roles in a diversified portfolio.Some businesses have both factors ...,Motley Fool,20250405T120500,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",Somewhat-Bullish,0.170158,HD
"Down 7% in 2025, Here's Why This Blue Chip Dow Jones Dividend Stock Is a No-Brainer Buy Now","Home Depot ( NYSE: HD ) is one of just 30 components in the Dow Jones Industrial Average ( DJINDICES: ^DJI ) . Like the majority of Dow stocks, Home Depot is an industry-leading business that pays a dividend, making it a go-to blue chip stock.But Home Depot has been selling off along with the ...",Motley Fool,20250405T070500,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Earnings', 'relevance_score': '0.904684'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.21483,HD
"The Zacks Analyst Blog Highlights Walmart, Costco Wholesale and The Home Depot","Walmart, Costco Wholesale and The Home Depot are part of the Zacks top Analyst Blog.",Zacks Commentary,20250404T131600,"[{'topic': 'Earnings', 'relevance_score': '0.875462'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}]",Bullish,0.419817,HD
Best Stock to Buy Right Now: Amazon vs. Home Depot,"There's a lot of uncertainty in the stock market right now, and it's causing many investors to reconsider some of their stocks and look at which ones might offer good opportunities to buy. With U.S. President Donald Trump's ongoing tariff actions against trade partners and some economists ...",Motley Fool,20250404T124500,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.977154'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,0.066227,HD
Should ALPS  ( OUSA )  Be on Your Investing Radar?,Style Box ETF report for ...,Zacks Commentary,20250404T102005,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",Somewhat-Bullish,0.190204,HD
"Goldman Sachs Warns Tariffs Will Hit Apparel And Home Furnishings Hardest, Highlights Most Exposed Stocks - Costco Wholesale  ( NASDAQ:COST ) , Five Below  ( NASDAQ:FIVE ) , RH  ( NYSE:RH ) , Gap  ( NYSE:GAP ) ","U.S. raises tariffs on key imports, impacting retailers and manufacturers. Apparel, footwear, and home furnishings face steep cost increases. Feel unsure about the market's next move? Copy trade alerts from Matt Maley-a Wall Street veteran who consistently finds profits in volatile markets.",Benzinga,20250403T192803,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Neutral,0.148583,HD
Clear Secure Stock Rises 11% in a Month: Is it a Good Time to Invest?,"YOU's strategic partnerships, innovative platform and strong growth across industries position it for continued success, driving expansion and enhancing market leadership.",Zacks Commentary,20250403T153400,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",Bullish,0.535245,HD
"RH's Q4 Earnings & Revenues Lag Estimates, Up Y/Y, Stock Down 26%",RH's fourth-quarter fiscal 2024 results indicate strong demand despite a challenging housing market.,Zacks Commentary,20250403T131300,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.918141'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.999965'}]",Neutral,0.128369,HD
3 Blue-Chip Retail Stocks to Count on Amid Trade War Uncertainty,"To navigate the volatility the year may bring, blue-chip retail stocks like WMT, COST and HD offer a blend of stability and growth.",Zacks Commentary,20250403T125800,"[{'topic': 'Earnings', 'relevance_score': '0.917436'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",Bullish,0.432342,HD
Cumulus Media's Westwood One to Broadcast the 2025 NCAA® Division I Men's Final Four® and National Championship Game in Spanish for the Eighth Straight Tournament - Cumulus Media  ( NASDAQ:CMLS ) ,"NEW YORK, April 02, 2025 ( GLOBE NEWSWIRE ) -- Cumulus Media's CMLS Westwood One will provide exclusive audio coverage of the NCAA Men's Final Four and national championship game in Spanish for the eighth consecutive tournament, presented by Werner Ladder, the official ladder of the NCAA Men's ...",Benzinga,20250402T183724,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}]",Somewhat-Bullish,0.280944,HD
Cumulus Media's Westwood One to Broadcast the 2025 NCAA® Division I Men's Final Four® and National Championship Game in Spanish for the Eighth Straight Tournament,WESTWOOD ONE TO BROADCAST THE 2025 NCAA® DIVISION I MEN'S FINAL FOUR® AND NATIONAL CHAMPIONSHIP GAME IN SPANISH FOR THE EIGHTH STRAIGHT TOURNAMENT ...,GlobeNewswire,20250402T183700,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}]",Somewhat-Bullish,0.282975,HD
Is DoorDash's Expanding Partner Base a Sign to Buy the Stock?,"DASH stock benefits from robust order growth and an expanding clientele, positioning it for continued success and future growth.",Zacks Commentary,20250402T162700,"[{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",Bullish,0.440131,HD
Cumulus Media's Westwood One Presents Exclusive Full-Court Audio Coverage of the 2025 NCAA® Division I Men's and Women's Basketball Final Four® and National Championship Games on Multiple Platforms - Cumulus Media  ( NASDAQ:CMLS ) ,"NEW YORK, April 02, 2025 ( GLOBE NEWSWIRE ) -- Cumulus Media's Westwood One CMLS, the largest radio network in the U.S. and the exclusive national audio broadcast partner of the NCAA, will present comprehensive live audio coverage of the 2025 NCAA Men's Final Four and national championship game ...",Benzinga,20250402T142110,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}]",Somewhat-Bullish,0.247879,HD
Cumulus Media's Westwood One Presents Exclusive Full-Court Audio Coverage of the 2025 NCAA® Division I Men's and Women's Basketball Final Four® and National Championship Games on Multiple Platforms,WESTWOOD ONE PRESENTS EXCLUSIVE FULL-COURT AUDIO COVERAGE OF 2025 NCAA® DIVISION I MEN'S AND WOMEN'S BASKETBALL FINAL FOUR® AND NATIONAL CHAMPIONSHIP GAMES ...,GlobeNewswire,20250402T142100,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}]",Somewhat-Bullish,0.245745,HD
Home Depot Stock Slips Below Key SMAs: Value Play or Warning Sign?,"HD drives growth through strategic initiatives. Yet, softer consumer spending and high rates pressure profits. We assess whether the stock is a buy at current levels.",Zacks Commentary,20250402T131300,"[{'topic': 'Earnings', 'relevance_score': '0.947132'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.658903'}]",Somewhat-Bullish,0.334294,HD
Is ALPS  ( OUSA )  a Strong ETF Right Now?,Smart Beta ETF report for ...,Zacks Commentary,20250402T102006,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999999'}]",Somewhat-Bullish,0.277768,HD
Should You Invest in the Consumer Discretionary Select Sector SPDR ETF  ( XLY ) ?,Sector ETF report for ...,Zacks Commentary,20250402T102005,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",Somewhat-Bullish,0.161708,HD
Home Depot  ( HD )  Stock Falls Amid Market Uptick: What Investors Need to Know,"In the latest trading session, Home Depot (HD) closed at $365.52, marking a -0.26% move from the previous day.",Zacks Commentary,20250401T214516,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Earnings', 'relevance_score': '0.983783'}]",Neutral,0.103472,HD
